"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"225",296,14,0.2235,0.1705,0.219,0.2217,0.2185,2235,1705,2190,2217,2185
"226",296,15,0.4967,0.3587,0.5042,0.5021,0.5072,4967,3587,5042,5021,5072
"227",296,16,0.8606,0.5558,0.8773,0.8416,0.893,8606,5558,8773,8416,8930
"228",296,17,0.9945,0.5953,0.9968,0.9748,0.9986,9945,5953,9968,9748,9986
"229",304,12,0.0247,0.0274,0.0258,0.0276,0.0273,247,274,258,276,273
"230",304,13,0.0739,0.0659,0.0715,0.0752,0.0734,739,659,715,752,734
"231",304,14,0.2061,0.1633,0.2146,0.2074,0.2125,2061,1633,2146,2074,2125
"232",304,15,0.4988,0.3631,0.4999,0.4914,0.506,4988,3631,4999,4914,5060
"233",304,16,0.8653,0.553,0.8739,0.8422,0.8844,8653,5530,8739,8422,8844
"234",304,17,0.996,0.5884,0.9967,0.977,0.9987,9960,5884,9967,9770,9987
"235",312,12,0.0235,0.0247,0.0231,0.0239,0.0231,235,247,231,239,231
"236",312,13,0.0709,0.0583,0.0733,0.0664,0.0734,709,583,733,664,734
"237",312,14,0.2135,0.1613,0.2035,0.1994,0.2064,2135,1613,2035,1994,2064
"238",312,15,0.4954,0.351,0.4988,0.4783,0.497,4954,3510,4988,4783,4970
"239",312,16,0.86,0.5479,0.8704,0.8355,0.8811,8600,5479,8704,8355,8811
"240",312,17,0.994,0.5982,0.9978,0.9762,0.9988,9940,5982,9978,9762,9988
"241",320,12,0.0198,0.023,0.0209,0.0197,0.0189,198,230,209,197,189
"242",320,13,0.0596,0.0541,0.063,0.0633,0.0641,596,541,630,633,641
"243",320,14,0.1966,0.1528,0.1896,0.1966,0.1869,1966,1528,1896,1966,1869
"244",320,15,0.4812,0.3486,0.4944,0.4805,0.4898,4812,3486,4944,4805,4898
"245",320,16,0.8563,0.5472,0.8604,0.8323,0.8832,8563,5472,8604,8323,8832
"246",320,17,0.9944,0.5851,0.9972,0.972,0.9989,9944,5851,9972,9720,9989
"247",328,12,0.0203,0.0185,0.0178,0.0194,0.0196,203,185,178,194,196
"248",328,13,0.0618,0.0492,0.058,0.0598,0.0616,618,492,580,598,616
"249",328,14,0.1867,0.1486,0.1919,0.1925,0.1885,1867,1486,1919,1925,1885
"250",328,15,0.4719,0.3326,0.4822,0.4678,0.477,4719,3326,4822,4678,4770
"251",328,16,0.8454,0.5471,0.8669,0.8342,0.8787,8454,5471,8669,8342,8787
"252",328,17,0.9944,0.5921,0.997,0.9758,0.9988,9944,5921,9970,9758,9988
"253",336,12,0.0156,0.017,0.019,0.0166,0.0156,156,170,190,166,156
"254",336,13,0.0552,0.0457,0.0515,0.0552,0.0523,552,457,515,552,523
"255",336,14,0.175,0.1413,0.1771,0.1757,0.1798,1750,1413,1771,1757,1798
"256",336,15,0.4662,0.33,0.4648,0.4508,0.4692,4662,3300,4648,4508,4692
"257",336,16,0.8489,0.5436,0.8563,0.8291,0.8791,8489,5436,8563,8291,8791
"258",336,17,0.9946,0.5966,0.9973,0.9746,0.9992,9946,5966,9973,9746,9992
"259",344,12,0.0141,0.0169,0.0149,0.0133,0.0146,141,169,149,133,146
"260",344,13,0.0485,0.0432,0.0477,0.0461,0.0473,485,432,477,461,473
"261",344,14,0.1632,0.1298,0.1707,0.1713,0.1675,1632,1298,1707,1713,1675
"262",344,15,0.4456,0.3225,0.4649,0.4433,0.4662,4456,3225,4649,4433,4662
"263",344,16,0.8424,0.5362,0.8611,0.8299,0.8697,8424,5362,8611,8299,8697
"264",344,17,0.9947,0.5815,0.9968,0.9769,0.9992,9947,5815,9968,9769,9992
"265",352,12,0.0131,0.011,0.0136,0.0152,0.0132,131,110,136,152,132
"266",352,13,0.0491,0.0406,0.0477,0.0469,0.0426,491,406,477,469,426
"267",352,14,0.1667,0.1294,0.1619,0.1624,0.1596,1667,1294,1619,1624,1596
"268",352,15,0.4369,0.3107,0.4452,0.4314,0.4479,4369,3107,4452,4314,4479
"269",352,16,0.8472,0.5384,0.858,0.8171,0.872,8472,5384,8580,8171,8720
"270",352,17,0.9946,0.5818,0.9964,0.9762,0.9989,9946,5818,9964,9762,9989
"271",360,12,0.0105,0.0114,0.0114,0.0118,0.011,105,114,114,118,110
"272",360,13,0.042,0.0333,0.0426,0.0401,0.0403,420,333,426,401,403
"273",360,14,0.1453,0.1155,0.1481,0.1535,0.1446,1453,1155,1481,1535,1446
"274",360,15,0.4206,0.3036,0.4282,0.4272,0.4426,4206,3036,4282,4272,4426
"275",360,16,0.8396,0.5277,0.8556,0.815,0.8695,8396,5277,8556,8150,8695
"276",360,17,0.9936,0.585,0.9959,0.9716,0.9984,9936,5850,9959,9716,9984
